Model,Avg_Pos,Avg_Neg,Margin,Avg_Rand_Neg,threshold_1,threshold_1.1,threshold_1.2,threshold_1.5,threshold_2,threshold_3
HNC_L2_1_S_vision_epoch68,0.31187809085845900,0.2956708931922910,0.016207197666168200,-0.002927052555605770,0.642,0.321,0.193,0.075,0.033,0.017
HNC_L2_1_S_vision_epoch69,0.3137127208709720,0.29846967458725000,0.015243046283721900,8.25104943942279E-05,0.625,0.307,0.174,0.068,0.029,0.012
HNC_L2_1_S_vision_epoch70,0.3222696809768680,0.3069528684616090,0.015316812515258800,0.0017983834259212000,0.623,0.302,0.17,0.06,0.031,0.013
HNC_L2_1_S_vision_epoch71,0.31892026877403300,0.30402527236938500,0.014894996404647800,0.015834173187613500,0.619,0.308,0.178,0.068,0.031,0.018
HNC_L2_1_S_vision_epoch72,0.30957616233825700,0.29402178239822400,0.015554379940033000,-0.0010700917337089800,0.617,0.31,0.181,0.07,0.03,0.016
HNC_L2_1_S_vision_epoch73,0.3137167863845830,0.29795139098167400,0.015765395402908300,0.005164667032659050,0.63,0.306,0.182,0.073,0.036,0.016
HNC_L2_1_S_vision_epoch74,0.3057152490615850,0.2899946393966680,0.015720609664917000,-0.0063805836252868200,0.628,0.317,0.18,0.073,0.03,0.014
HNC_L2_1_S_vision_epoch75,0.3079569275379180,0.2931506190299990,0.014806308507919300,-0.003228767542168500,0.62,0.311,0.179,0.069,0.029,0.012
HNC_L2_1_S_vision_epoch76,0.3180807284116750,0.3032486447691920,0.014832083642482800,0.005384387448430060,0.62,0.306,0.171,0.061,0.03,0.016
HNC_L2_1_S_vision_epoch77,0.30540113162994400,0.2904227337837220,0.014978397846222000,0.006705009378492830,0.619,0.311,0.178,0.072,0.029,0.014
HNC_L2_1_S_vision_epoch78,0.3061115140914920,0.2913295984268190,0.014781915664672900,0.00156016880646348,0.621,0.307,0.18,0.069,0.03,0.014
HNC_L2_1_S_vision_epoch79,0.3080966835618020,0.2940771331787110,0.014019550383091000,0.0008884595008566980,0.616,0.301,0.174,0.062,0.027,0.014
HNC_L2_1_S_vision_epoch80,0.3027729368209840,0.28760672569274900,0.015166211128234900,-0.0004485268727876250,0.624,0.313,0.181,0.072,0.034,0.014
HNC_L2_1_S_vision_epoch81,0.3035516948699950,0.2887223308086400,0.014829364061355600,0.006527142133563760,0.622,0.317,0.177,0.068,0.027,0.011
HNC_L2_1_S_vision_epoch82,0.29808178257942200,0.2833496448993680,0.014732137680053700,0.001863174606114630,0.625,0.307,0.186,0.067,0.033,0.014
HNC_L2_1_S_vision_epoch83,0.3012395250797270,0.28706855487823500,0.014170970201492300,0.009618262760341170,0.617,0.308,0.176,0.069,0.026,0.015
HNC_L2_1_S_vision_epoch84,0.29845852637291000,0.2843898367881780,0.014068689584732100,0.006332380697131160,0.617,0.31,0.179,0.061,0.026,0.01
HNC_L2_1_S_vision_epoch85,0.2985841774940490,0.28436345744133000,0.014220720052719100,0.004636840894818310,0.613,0.313,0.179,0.067,0.029,0.015
HNC_L2_1_S_vision_epoch86,0.29476798343658400,0.2805822095870970,0.014185773849487300,0.0004313479585107420,0.618,0.316,0.179,0.069,0.03,0.018
HNC_L2_1_S_vision_epoch87,0.2932485545873640,0.2792093675136570,0.014039187073707600,0.007875611074268820,0.617,0.32,0.183,0.07,0.035,0.017
HNC_L2_1_S_vision_epoch88,0.29593313789367700,0.2819532527923580,0.013979885101318400,0.012164595536887600,0.615,0.307,0.179,0.068,0.031,0.012
HNC_L2_1_S_vision_epoch89,0.29172430753707900,0.27759304487705200,0.014131262660026500,0.004739656578749420,0.615,0.313,0.177,0.069,0.032,0.014
HNC_L2_1_S_vision_epoch90,0.2931556854248050,0.27914391016960100,0.014011775255203300,0.008055416867136960,0.617,0.314,0.18,0.066,0.032,0.015
HNC_L2_1_S_vision_epoch91,0.29221283292770400,0.27835602378845200,0.013856809139251700,0.007568435277789830,0.617,0.315,0.18,0.068,0.033,0.015
HNC_L2_1_S_vision_epoch92,0.2940411801338200,0.28022943711280800,0.013811743021011300,0.009136791341006760,0.617,0.314,0.176,0.069,0.033,0.018
HNC_L2_1_S_vision_epoch93,0.2919771912097930,0.27804128086566900,0.013935910344123800,0.008952644653618340,0.613,0.313,0.18,0.066,0.033,0.018
HNC_L2_1_S_vision_epoch94,0.29228952956199600,0.27837243020534500,0.013917099356651300,0.004743065219372510,0.616,0.314,0.18,0.066,0.032,0.017
HNC_L2_1_S_vision_epoch95,0.29031693935394300,0.2763966977596280,0.013920241594314600,0.006776805967092510,0.619,0.315,0.179,0.068,0.033,0.018
HNC_L2_1_S_vision_epoch96,0.2905674114227300,0.27668625783920300,0.01388115358352670,0.005541331600397830,0.615,0.313,0.18,0.067,0.032,0.017
HNC_L2_1_S_vision_epoch97,0.29079260730743400,0.27681894779205300,0.01397365951538080,0.0028179283253848600,0.615,0.314,0.181,0.068,0.033,0.018
HNC_L2_1_S_vision_epoch98,0.2906781101226810,0.2767580885887150,0.013920021533966100,0.0073699308559298500,0.616,0.315,0.182,0.068,0.033,0.018
HNC_L2_1_S_vision_epoch99,0.2908549518585210,0.27693989753723100,0.013915054321289000,0.007560531608760360,0.617,0.316,0.18,0.068,0.033,0.018
HNC_L2_1_S_vision_epoch100,0.2908685369491580,0.276953280210495,0.013915256738662700,0.010322727262973800,0.616,0.315,0.181,0.069,0.033,0.018
Standard_S_vision_epoch1,0.33130712127685500,0.3128471221923830,0.018459999084472700,0.011683842167258300,0.745,0.294,0.124,0.024,0.005,0.001
Standard_S_vision_epoch2,0.35452843952179000,0.3402490768432620,0.014279362678527800,0.0026068510487675700,0.691,0.231,0.093,0.02,0.005,0.001
Standard_S_vision_epoch3,0.3722281646728520,0.35896001815795900,0.01326814651489260,0.0130018200725317,0.669,0.217,0.096,0.02,0.008,0.001
Standard_S_vision_epoch4,0.3828955993652340,0.37000862884521500,0.012886970520019500,0.007413608022034170,0.649,0.227,0.085,0.021,0.007,0.0
Standard_S_vision_epoch5,0.395184326171875,0.3831077880859380,0.012076538085937500,0.024142403155565300,0.627,0.212,0.094,0.018,0.004,0.001
Standard_S_vision_epoch6,0.3873838653564450,0.37678730964660600,0.010596555709838900,0.01725560612976550,0.615,0.215,0.088,0.015,0.004,0.0
Standard_S_vision_epoch7,0.37957303619384800,0.3687629928588870,0.01081004333496090,0.019198574125766800,0.631,0.222,0.09,0.023,0.009,0.003
Standard_S_vision_epoch8,0.380380859375,0.3696819467544560,0.010698912620544400,0.0179574154317379,0.632,0.238,0.098,0.021,0.007,0.003
Standard_S_vision_epoch9,0.38736452484130900,0.3761889419555660,0.011175582885742200,0.020489633083343500,0.631,0.232,0.102,0.02,0.008,0.001
Standard_S_vision_epoch10,0.37632992553710900,0.3653479309082030,0.010981994628906300,0.01343538984656330,0.625,0.235,0.102,0.021,0.008,0.003
Standard_S_vision_epoch11,0.3763448944091800,0.36532226753234900,0.011022626876831000,0.009355482645332810,0.633,0.232,0.106,0.019,0.008,0.002
Standard_S_vision_epoch12,0.3740286865234380,0.36329586219787600,0.010732824325561600,0.014257697388529800,0.626,0.234,0.107,0.026,0.009,0.003
Standard_S_vision_epoch13,0.3759285888671880,0.36514528656005900,0.010783302307128900,0.011609546840190900,0.629,0.231,0.108,0.025,0.007,0.003
